# l = 1
# n = 2
# E = -0.12499976
# r	u(r)	R(r)	V(r)
1.10009780	0.14251972	0.12955186	-0.90901009
1.10259779	0.14298936	0.12968407	-0.90694903
1.10509779	0.14345908	0.12981574	-0.90489729
1.10759778	0.14392887	0.12994688	-0.90285482
1.11009778	0.14439873	0.13007748	-0.90082155
1.11259777	0.14486865	0.13020756	-0.89879741
1.11509777	0.14533863	0.13033712	-0.89678235
1.11759776	0.14580867	0.13046614	-0.89477631
1.12009776	0.14627876	0.13059464	-0.89277922
1.12259775	0.14674891	0.13072262	-0.89079102
1.12509775	0.14721912	0.13085007	-0.88881166
1.12759774	0.14768936	0.13097700	-0.88684108
1.13009774	0.14815966	0.13110340	-0.88487921
1.13259773	0.14863000	0.13122929	-0.88292601
1.13509773	0.14910037	0.13135466	-0.88098141
1.13759772	0.14957079	0.13147951	-0.87904536
1.14009772	0.15004124	0.13160384	-0.87711780
1.14259771	0.15051172	0.13172766	-0.87519867
1.14509771	0.15098223	0.13185096	-0.87328792
1.14759770	0.15145277	0.13197375	-0.87138550
1.15009770	0.15192334	0.13209603	-0.86949135
1.15259769	0.15239392	0.13221779	-0.86760541
1.15509769	0.15286453	0.13233905	-0.86572764
1.15759768	0.15333515	0.13245979	-0.86385798
1.16009768	0.15380578	0.13258003	-0.86199638
1.16259767	0.15427643	0.13269976	-0.86014278
1.16509767	0.15474709	0.13281898	-0.85829714
1.16759766	0.15521775	0.13293770	-0.85645940
1.17009766	0.15568842	0.13305592	-0.85462952
1.17259765	0.15615909	0.13317363	-0.85280744
1.17509765	0.15662975	0.13329084	-0.85099311
1.17759764	0.15710042	0.13340755	-0.84918648
1.18009764	0.15757107	0.13352376	-0.84738751
1.18259763	0.15804172	0.13363947	-0.84559614
1.18509763	0.15851236	0.13375469	-0.84381234
1.18759762	0.15898299	0.13386940	-0.84203604
1.19009762	0.15945360	0.13398363	-0.84026720
1.19259761	0.15992419	0.13409736	-0.83850579
1.19509761	0.16039476	0.13421059	-0.83675174
1.19759760	0.16086530	0.13432333	-0.83500501
1.20009760	0.16133582	0.13443559	-0.83326556
1.20259759	0.16180632	0.13454735	-0.83153334
1.20509759	0.16227678	0.13465862	-0.82980831
1.20759758	0.16274721	0.13476940	-0.82809043
