# Energia = 2.50078368
# x	psi(x)	V(x)
3.55999947	0.09789886	2.98062086
3.59999943	0.09409831	2.98210859
3.63999939	0.09044271	2.98348236
3.67999935	0.08692682	2.98475051
3.71999931	0.08354554	2.98592162
3.75999928	0.08029398	2.98700285
3.79999924	0.07716733	2.98800135
3.84000015	0.07416101	2.98892283
3.88000011	0.07127055	2.98977375
3.92000008	0.06849162	2.99055934
3.96000004	0.06582005	2.99128461
4.00000000	0.06325179	2.99195433
4.03999996	0.06078296	2.99257231
4.07999992	0.05840980	2.99314308
4.11999989	0.05612868	2.99367023
4.15999985	0.05393610	2.99415660
4.19999981	0.05182868	2.99460554
4.23999977	0.04980316	2.99502015
4.27999973	0.04785642	2.99540281
4.31999969	0.04598543	2.99575615
4.35999966	0.04418727	2.99608231
4.39999962	0.04245915	2.99638343
4.43999958	0.04079837	2.99666166
4.47999954	0.03920233	2.99691820
4.51999950	0.03766855	2.99715495
4.55999947	0.03619461	2.99737358
4.59999943	0.03477819	2.99757552
4.63999939	0.03341707	2.99776196
4.67999935	0.03210910	2.99793386
4.71999931	0.03085222	2.99809265
4.75999928	0.02964445	2.99823952
4.79999924	0.02848387	2.99837470
4.83999920	0.02736865	2.99849987
4.88000011	0.02629702	2.99861503
4.92000008	0.02526729	2.99872160
4.96000004	0.02427783	2.99881983
5.00000000	0.02332706	2.99891043
5.03999996	0.02241347	2.99899411
5.07999992	0.02153562	2.99907160
5.11999989	0.02069212	2.99914289
5.15999985	0.01988162	2.99920893
5.19999981	0.01910283	2.99926972
5.23999977	0.01835453	2.99932575
5.27999973	0.01763550	2.99937773
5.31999969	0.01694462	2.99942541
5.35999966	0.01628078	2.99946976
5.39999962	0.01564293	2.99951029
5.43999958	0.01503004	2.99954820
5.47999954	0.01444115	2.99958277
5.51999950	0.01387531	2.99961472
5.55999947	0.01333162	2.99964452
5.59999943	0.01280922	2.99967194
5.63999939	0.01230727	2.99969721
5.67999935	0.01182498	2.99972034
5.71999931	0.01136156	2.99974179
5.75999928	0.01091629	2.99976158
5.79999924	0.01048845	2.99978018
5.83999920	0.01007736	2.99979687
5.88000011	0.00968237	2.99981260
5.92000008	0.00930284	2.99982691
5.96000004	0.00893817	2.99984026
6.00000000	0.00858777	2.99985242
6.03999901	0.00825109	2.99986386
6.07999992	0.00792759	2.99987435
6.11999893	0.00761676	2.99988389
6.15999985	0.00731809	2.99989295
6.19999886	0.00703110	2.99990106
6.23999977	0.00675536	2.99990892
6.27999878	0.00649040	2.99991584
6.31999969	0.00623581	2.99992228
6.35999870	0.00599118	2.99992824
6.39999962	0.00575612	2.99993372
6.44000053	0.00553026	2.99993896
6.47999954	0.00531324	2.99994349
6.52000046	0.00510470	2.99994802
6.55999947	0.00490431	2.99995184
6.60000038	0.00471176	2.99995565
6.63999939	0.00452674	2.99995899
6.68000031	0.00434895	2.99996209
6.71999931	0.00417810	2.99996519
6.76000023	0.00401393	2.99996781
6.79999924	0.00385617	2.99997044
6.84000015	0.00370457	2.99997234
6.87999916	0.00355889	2.99997473
6.92000008	0.00341890	2.99997663
6.95999908	0.00328436	2.99997830
7.00000000	0.00315508	2.99997997
7.03999901	0.00303083	2.99998164
7.07999992	0.00291143	2.99998307
7.11999893	0.00279667	2.99998426
7.15999985	0.00268639	2.99998546
7.19999886	0.00258039	2.99998665
7.23999977	0.00247852	2.99998760
7.27999878	0.00238061	2.99998856
7.31999969	0.00228650	2.99998951
7.35999870	0.00219605	2.99999046
7.39999962	0.00210910	2.99999094
7.44000053	0.00202553	2.99999189
7.47999954	0.00194519	2.99999237
7.52000046	0.00186795	2.99999309
7.55999947	0.00179371	2.99999356
7.60000038	0.00172233	2.99999380
7.63999939	0.00165370	2.99999452
7.68000031	0.00158771	2.99999475
7.71999931	0.00152426	2.99999523
7.76000023	0.00146324	2.99999571
7.79999924	0.00140457	2.99999595
7.84000015	0.00134813	2.99999619
7.87999916	0.00129385	2.99999666
7.92000008	0.00124164	2.99999666
7.95999908	0.00119141	2.99999714
8.00000000	0.00114309	2.99999738
8.03999901	0.00109659	2.99999762
8.07999992	0.00105184	2.99999762
8.11999893	0.00100878	2.99999785
8.15999985	0.00096733	2.99999809
8.19999886	0.00092742	2.99999809
8.23999977	0.00088899	2.99999833
8.27999878	0.00085199	2.99999833
8.31999969	0.00081634	2.99999857
8.35999870	0.00078200	2.99999881
8.39999962	0.00074891	2.99999881
8.44000053	0.00071702	2.99999905
8.47999954	0.00068627	2.99999905
8.52000046	0.00065662	2.99999905
8.55999947	0.00062801	2.99999905
8.60000038	0.00060041	2.99999905
8.63999939	0.00057377	2.99999928
8.68000031	0.00054805	2.99999928
8.71999931	0.00052320	2.99999928
8.76000023	0.00049919	2.99999952
8.79999924	0.00047598	2.99999952
8.84000015	0.00045352	2.99999952
8.87999916	0.00043179	2.99999952
8.92000008	0.00041075	2.99999952
8.95999908	0.00039037	2.99999952
9.00000000	0.00037061	2.99999952
9.03999901	0.00035144	2.99999952
9.07999992	0.00033284	2.99999952
9.11999893	0.00031476	2.99999952
9.15999985	0.00029719	2.99999976
9.19999886	0.00028010	2.99999976
9.23999977	0.00026345	2.99999976
9.27999878	0.00024722	2.99999976
9.31999969	0.00023139	2.99999976
9.35999870	0.00021592	2.99999976
9.39999962	0.00020080	2.99999976
9.43999863	0.00018601	2.99999976
9.47999954	0.00017151	2.99999976
9.52000046	0.00015728	2.99999976
9.55999947	0.00014331	2.99999976
9.60000038	0.00012956	2.99999976
9.63999939	0.00011602	2.99999976
9.68000031	0.00010267	2.99999976
9.71999931	0.00008948	3.00000000
9.76000023	0.00007643	3.00000000
9.79999924	0.00006351	3.00000000
9.84000015	0.00005068	3.00000000
9.87999916	0.00003794	3.00000000
9.92000008	0.00002526	3.00000000
9.95999908	0.00001262	3.00000000
10.00000000	0.00000000	3.00000000
